type_habit,prix,adresse,image_lien
Ensemble chemises + pantalon friperie enfants,3000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3174199_uploaded_image2_1623782190.jpeg
Robe fillette,7000,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_3172225_uploaded_image1_1623704262.jpg
Vêtements enfants,4000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3163009_uploaded_image1_1623254458.jpg
Vêtement enfant,30000,"Toubab Dialao, Sénégal",https://images.coinafrique.com/thumb_3160326_uploaded_image1_1623155200.jpg
Ensemble bébé été,5500,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3156533_uploaded_image1_1622995117.jpg
Ensemble été avec bavoir bébé,5500,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3156529_uploaded_image1_1622995007.jpg
Ensemble bébé,4000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3153951_uploaded_image1_1622847447.jpg
Robe  enfant,15000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3147894_uploaded_image1_1622636034.jpg
Vêtement enfant,1500,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3138756_uploaded_image2_1622223312.jpeg
Vêtements enfants,1500,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3138754_uploaded_image1_1622223222.jpg
Vêtement enfant,1500,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3138750_uploaded_image1_1622223144.jpg
Vêtement enfant,0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3138747_uploaded_image1_1622223048.jpg
Ensemble  pour garçon,4000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3137963_uploaded_image1_1622193150.jpg
Chemises garçon,7000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3125676_uploaded_image1_1621537910.jpg
Robes enfants,7000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3125619_uploaded_image1_1621534794.jpg
Robe pour enfants,15000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_3117591_uploaded_image2_1621167673.jpeg
Robe enfant,20000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3113417_uploaded_image1_1620899489.jpg
Robe,15000,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3110386_uploaded_image1_1620737846.jpg
Robe,15000,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3110145_uploaded_image1_1620730955.jpg
Robe princesse,5000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3106812_uploaded_image1_1620581452.jpg
Robe bazin riche brodé fait main,15000,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3106119_uploaded_image1_1620547487.jpg
Vêtements friperie enfants,0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3104022_uploaded_image1_1620427612.jpg
Vêtements enfants friperie,0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3104018_uploaded_image1_1620427485.jpg
Vêtements enfants,12000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3103497_uploaded_image1_1620407250.jpg
Vêtements enfants,0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3101212_uploaded_image1_1620313045.jpg
Prêt à porter enfants,10000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3100941_uploaded_image1_1620306624.jpg
Vêtements enfant,0,"Geule Tapée, Dakar, Sénégal",https://images.coinafrique.com/thumb_3100042_uploaded_image1_1620266770.jpg
Robe pour bébé,0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3098724_uploaded_image1_1620219131.jpg
Ensemble enfants,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3098344_uploaded_image1_1620209550.jpg
Robes enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3098340_uploaded_image1_1620209467.jpg
Ensembles enfants,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3097531_uploaded_image1_1620165477.jpg
Robes enfants,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3097522_uploaded_image1_1620165342.jpg
Robes enfants,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3097519_uploaded_image1_1620165230.jpg
Ensembles pour enfants,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3097512_uploaded_image1_1620164877.jpg
Bazin riche avec broderie,18000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3092548_uploaded_image1_1619979222.jpg
Robe enfant,8000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3091601_uploaded_image1_1619937730.jpg
Vêtements Enfants,7000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3091599_uploaded_image3_1619937608.jpeg
Ensemble enfant,10000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3091597_uploaded_image1_1619937516.jpg
