type_chaussure,prix,adresse,image_lien
Chaussures Jordan 4,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5292480_uploaded_image1_1745315752.jpg
Chaussures Nike Air force 1,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5292476_uploaded_image1_1745315513.jpg
Chaussures Nike Airmax,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5292472_uploaded_image1_1745315287.jpg
Chaussures Nike,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5292464_uploaded_image1_1745314968.jpg
Baskets New Balance,25000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5292015_uploaded_image1_1745278729.jpg
Chaussures en cuir,22000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5291808_uploaded_image1_1745269578.jpg
Chaussures homme,15000,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5290695_uploaded_image1_1745194082.jpg
Sandales homme,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5290585_uploaded_image1_1745186952.jpg
Sandales,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5290582_uploaded_image1_1745186783.jpg
Chaussures orthopédiques,10000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5290098_uploaded_image1_1745149553.jpg
Chaussures Nocta,12000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5289537_uploaded_image1_1745088997.jpg
Chaussures Jordan,12000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5289531_uploaded_image1_1745088572.jpg
Sandales orthopédiques,19900,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5240443_uploaded_image1_1742398772.jpg
Chaussures homme,25000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5283703_uploaded_image1_1744756872.jpg
Chaussures hommes,15000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5282876_uploaded_image1_1744723179.jpg
Chaussures hommes,15000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5282864_uploaded_image1_1744722887.jpg
Chaussures Fourcand,20000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5282537_uploaded_image1_1744710329.jpg
Chaussures Wallabees,20000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5282535_uploaded_image1_1744710250.jpg
crocs Confort,10000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5282531_uploaded_image1_1744710129.jpg
Baskets Jordan 4,25000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5281091_uploaded_image1_1744633294.jpg
Baskets New Balance 9060,14000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5280652_uploaded_image1_1744617829.jpg
Chaussures homme,18000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5326084_uploaded_image1_1747152804.jpg
Chaussures  homme,18000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5326073_uploaded_image1_1747152250.jpg
Chaussures homme,18000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5326060_uploaded_image1_1747151959.jpg
Chaussures homme,16000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5326065_uploaded_image1_1747152038.jpg
Chaussures homme,20000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5335718_uploaded_image1_1747671521.jpg
Chaussures homme,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5358876_uploaded_image1_1748971049.jpg
Chaussures homme,0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5320664_uploaded_image1_1746830837.jpg
Chaussures homme,15000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5320634_uploaded_image1_1746829909.jpg
Chaussures homme,13000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5320656_uploaded_image1_1746830707.jpg
Chaussures homme,16000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5320628_uploaded_image1_1746829675.jpg
Chaussures homme,0,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5364177_uploaded_image1_1749301086.jpg
Chaussures homme,0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5318675_uploaded_image1_1746735235.jpg
Sandales orthopédique,17000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5318493_uploaded_image1_1746728698.jpg
Baskets Nike JA 1,20000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5362506_uploaded_image1_1749163263.jpg
Chaussures Wallabess,16000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5314916_uploaded_image1_1746554149.jpg
Chaussures homme,16000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5314910_uploaded_image1_1746554047.jpg
Chaussures homme,13000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5314898_uploaded_image1_1746553752.jpg
Babouche / bonnet,15000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5360403_uploaded_image1_1749049684.jpg
Chaussures homme,7000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5360164_uploaded_image1_1749041699.jpg
Chaussures homme,0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5360111_uploaded_image1_1749039993.jpg
Sandales homme,0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5360021_uploaded_image1_1749037309.jpg
Chaussures Unisexe,14500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359386_uploaded_image1_1748994671.jpg
Baskets Aire Force One,14500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359383_uploaded_image1_1748994555.jpg
Chaussures homme,13000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5313318_uploaded_image1_1746471196.jpg
Sabot orthopédique,12000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5313152_uploaded_image1_1746464722.jpg
Sandales orthopédique,10000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5313151_uploaded_image1_1746464604.jpg
Chaussures homme en cuir,15000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359026_uploaded_image1_1748977576.jpg
Chaussures en cuir,15000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359022_uploaded_image1_1748977431.jpg
Chaussures homme,9000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359020_uploaded_image1_1748977345.jpg
Chaussures Hermes,14000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359016_uploaded_image1_1748977243.jpg
Chaussures homme,0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5358670_uploaded_image1_1748962573.jpg
Chaussures hommes,14000,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5358423_uploaded_image1_1748954041.jpg
Chaussures Tommy,15000,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5358420_uploaded_image1_1748953921.jpg
Chaussures en cuir,20000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5358106_uploaded_image1_1748946350.jpg
Chaussures homme,15000,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5357608_uploaded_image1_1748916267.jpg
Chaussures homme,8500,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5357607_uploaded_image1_1748916131.jpg
Chaussures homme,15000,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5356684_uploaded_image1_1748876788.jpg
Chaussures Nike,20000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5355703_uploaded_image1_1748827191.jpg
Chaussures homme,13000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5310619_uploaded_image1_1746312980.jpg
Chaussures Nike,30000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5355700_uploaded_image1_1748826892.jpg
Chaussures homme,25000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5310609_uploaded_image1_1746312679.jpg
Chaussures homme,25000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5310593_uploaded_image1_1746312078.jpg
Chaussures en cuirs pour homme,17000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5353808_uploaded_image1_1748715471.jpg
Chaussures homme,16000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5307447_uploaded_image1_1746143406.jpg
Chaussures homme,13000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5307448_uploaded_image1_1746143468.jpg
Chaussures homme,16000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5307453_uploaded_image1_1746143663.jpg
Chaussures homme,18000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5307445_uploaded_image1_1746143357.jpg
Chaussures homme,22000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5351719_uploaded_image1_1748579858.jpg
Tapettes homme,20000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5351718_uploaded_image2_1748579763.jpeg
