type_chaussure,prix,adresse,image_lien
Chaussures enfants,0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_1828156_uploaded_image1_1584792551.44.png
Chaussures enfant,0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_1739397_uploaded_image1_1583259534.94.png
Chaussures enfants,10000,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_1711436_uploaded_image1_1582778564.65.png
Claquettes filles,10000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_1679922_uploaded_image1_1582210105.85.png
Chaussures  enfants,0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_1612546_uploaded_image1_1581098603.48.png
Chaussures enfants,0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_1612540_uploaded_image1_1581098569.88.png
Chaussures  enfants,0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_1612534_uploaded_image1_1581098501.44.png
Chaussures enfants,0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_1612532_uploaded_image1_1581098455.63.png
Chaussures enfants,8000,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_1607931_uploaded_image1_1581037601.04.png
Chaussures Enfants,0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_1581553_uploaded_image1_1580655629.12.png
Chaussures enfants,5000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_1581551_uploaded_image1_1580655582.93.png
Chaussures pour enfant,5000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_1581547_uploaded_image1_1580655536.54.png
Chaussures enfants,5000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_1581543_uploaded_image1_1580655480.41.png
Chaussures enfant,5000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_1581540_uploaded_image1_1580655426.76.png
Baskets Jordan 6,40000,"Thies Nord, Thiès, Sénégal",https://images.coinafrique.com/thumb_1566247_uploaded_image1_1580391008.81.png
Baskets Jordan,40000,"Thies Nord, Thiès, Sénégal",https://images.coinafrique.com/thumb_1566225_uploaded_image2_1580390769.12.png
Sandales pour enfants,0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_1565794_uploaded_image1_1580386215.45.png
Chaussures enfants,0,"Sicap-Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_1413364_uploaded_image1_1577802616.96.png
Chaussures enfant,10000,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_1409266_uploaded_image1_1577711646.42.png
Chaussures enfant,7000,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_1388690_uploaded_image1_1577283660.0.png
Chaussures anti-dérapantes,4000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_1381082_uploaded_image1_1577115739.61.png
Chaussures pour fille,12000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_1369049_uploaded_image1_1576856907.85.png
Coffrets pour enfants,6000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_1357961_uploaded_image1_1576667812.04.png
Claquettes pour fille,9000,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_1352820_uploaded_image1_1576580373.29.png
Chaussures,0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_1273021_uploaded_image2_1575074492.39.png
Chaussures classe,7500,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_1271193_uploaded_image1_1575044622.08.png
Chaussures enfant,3500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1270845_uploaded_image1_1575041164.15.png
Chaussures bébé,0,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_1261223_uploaded_image1_1574870941.9.png
Chaussures enfants,0,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_1257492_uploaded_image1_1574803246.81.png
Claquettes enfants,0,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_1243853_uploaded_image1_1574535955.25.png
Chaussures enfants,0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_1215779_uploaded_image1_1574081577.15.png
Chaussures enfant,7000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1183496_uploaded_image1_1573475198.52.png
Chaussures enfant,3000,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_1131220_uploaded_image1_1572433036.53.png
Chaussures enfants,0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_1107988_uploaded_image1_1571960612.66.png
Chaussures Enfants,5000,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_1088264_uploaded_image1_1571609033.03.png
Chaussures - enfant,8000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_1061846_uploaded_image1_1571051734.07.png
Mocassins Enfant,5000,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_1056625_uploaded_image1_1570898469.33.png
Chaussures enfant,12500,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_1048681_uploaded_image1_1570725349.01.png
Mocassins enfant,4000,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_1025460_uploaded_image1_1570221546.08.png
Chaussures pour enfant,3000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_997837_uploaded_image1_1569622630.58.png
Chaussures pour enfant,4000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_997786_uploaded_image1_1569621938.2.png
Chaussures,7000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_991150_uploaded_image1_1569498881.69.png
Chaussures garçons,3000,"M'bour, Sénégal",https://images.coinafrique.com/thumb_989602_uploaded_image1_1569455878.5.png
Chaussures filles,3000,"M'bour, Sénégal",https://images.coinafrique.com/thumb_989597_uploaded_image1_1569455797.26.png
Chaussures petite fille,3000,"M'bour, Sénégal",https://images.coinafrique.com/thumb_989571_uploaded_image1_1569455169.87.png
Chaussures petit  garçon,2500,"M'bour, Sénégal",https://images.coinafrique.com/thumb_989555_uploaded_image1_1569454732.88.png
Chaussures originales,7000,"Patte d'Oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_971817_uploaded_image1_1569079950.62.png
Chaussures enfant,7000,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_971814_uploaded_image1_1569079860.47.png
Chaussures de qualité,20000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_963710_uploaded_image1_1568898631.18.png
Chaussures enfants,10000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_961311_uploaded_image1_1568849341.17.png
Chaussures et sacs - enfants,15000,"Saly, Sénégal",https://images.coinafrique.com/thumb_947507_uploaded_image1_1568567749.69.png
Baskets Lacoste - enfant,15000,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_919329_uploaded_image1_1567854794.2.png
Chaussures enfant,10000,Sénégal,https://images.coinafrique.com/thumb_919324_uploaded_image1_1567854655.1.png
Chaussures enfants Zara,7000,Sénégal,https://images.coinafrique.com/thumb_905654_uploaded_image1_1567532748.81.png
Chaussures enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_905461_uploaded_image1_1567528992.85.png
Chaussures enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_905455_uploaded_image1_1567528936.77.png
Chaussures enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_905452_uploaded_image1_1567528876.26.png
Chaussures enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_905450_uploaded_image1_1567528833.56.png
Chaussures enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_905446_uploaded_image1_1567528767.16.png
Chaussures  enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_905442_uploaded_image1_1567528724.67.png
Chaussures  enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_905439_uploaded_image1_1567528632.43.png
Chaussures  enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_905437_uploaded_image1_1567528599.94.png
Chaussures enfants,8000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2480205_uploaded_image1_1595631053.jpg
Chaussures enfants,8000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2480204_uploaded_image1_1595631025.jpg
Chaussures enfant,8500,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_2477046_uploaded_image1_1595580779.jpg
Chaussures enfant,7500,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2476350_uploaded_image1_1595551356.jpg
Chaussures enfant,5000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2476339_uploaded_image1_1595551015.jpg
Chaussures enfant,6000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2472307_uploaded_image1_1595468941.jpg
Chaussures enfant,6000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2472298_uploaded_image1_1595468772.jpg
Chaussures enfant,6000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2472283_uploaded_image1_1595468382.jpg
Chaussures enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2460623_uploaded_image1_1595239531.jpg
